number,title,state,assignees,author,body,closed,closedAt,comments,createdAt,id,labels,milestone,reactions,updatedAt,url
"275","[E8T8.3b.2] IMPL: accuracy metrics calculator and achievements integration","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.3b.2 \n **TDD Phase**: `green` \n  \n ### Description \n Implementar calculator de accuracy metrics e integração com achievements tracker para premiar precision em time estimation. \n  \n ### Checklist \n - [ ] transform/warnings/analytics/accuracy_calculator.py \n - [ ] tests/test_accuracy_metrics.py::test_should_calculate_accuracy_metrics_and_trigger_achievements \n  \n ### Acceptance Criteria \n - [ ] Accuracy percentage calculado corretamente (within threshold %) \n - [ ] Variance statistics (mean, std dev) calculados adequadamente \n - [ ] Integration com achievements system funcional \n - [ ] Testes da fase red passam \n  \n ### Dependencies \n This task depends on: #Task 8.3b.1 \n  \n ### Risk & Mitigation \n **Risk**: Statistical calculations incorretos \n **Mitigation**: Usar bibliotecas proven (numpy/scipy) e validar com casos conhecidos \n  \n ### Estimates \n - **Time**: 8 minutes (0.1h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 8min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:49Z","I_kwDOONVJAc7FKwWE","productivity;epic-8;tdd-green;estimate-small;type-implementation","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:49Z","https://github.com/davidcantidio/etl_debrito/issues/275"
"274","[E8T8.3b.1] TEST: should_calculate_accuracy_metrics_and_trigger_achievements","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.3b.1 \n **TDD Phase**: `red` \n  \n ### Description \n Escrever teste que verifica cálculo de accuracy metrics (% within 10% of estimate, variance médio) e trigger de achievements baseados em precision. \n  \n ### Checklist \n - [ ] tests/test_accuracy_metrics.py::test_should_calculate_accuracy_metrics_and_trigger_achievements \n  \n ### Acceptance Criteria \n - [ ] Teste falha se accuracy calculation estiver incorreto \n - [ ] Teste falha se achievements não forem triggered adequadamente \n - [ ] Teste falha se métricas estatísticas estiverem erradas \n  \n ### Dependencies \n This task depends on: #Task 8.3a, #Task 8.1b.2 \n  \n ### Risk & Mitigation \n **Risk**: Integração complexa com achievements system existente \n **Mitigation**: Usar interfaces bem definidas e mocks para isolation \n  \n ### Estimates \n - **Time**: 5 minutes (0.1h) \n - **Story Points**: 1 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 5min | 📊 **Story points**: 1","false","","[]","2025-08-10T20:11:43Z","I_kwDOONVJAc7FKwVA","productivity;epic-8;tdd-red;estimate-small;type-test","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:43Z","https://github.com/davidcantidio/etl_debrito/issues/274"
"273","[E8T8.3a] Analisar accuracy metrics para achievements integration","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.3a \n **TDD Phase**: `analysis/documentation` \n  \n ### Description \n Definir métricas de accuracy (% tasks dentro do target, variance médio) e como integrar com achievements system existente (Epic 4.4). \n  \n ### Checklist \n - [ ] reports/analysis_accuracy_metrics.md \n  \n ### Acceptance Criteria \n - [ ] Métricas de accuracy claramente definidas \n - [ ] Integração com achievements system planejada \n - [ ] Thresholds para diferentes níveis de achievement definidos \n  \n ### Risk & Mitigation \n **Risk**: Métricas inadequadas não motivarem melhoria \n **Mitigation**: Consultar literature sobre time estimation e productivity \n  \n ### Estimates \n - **Time**: 10 minutes (0.2h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 10min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:37Z","I_kwDOONVJAc7FKwTv","productivity;epic-8;estimate-small;type-analysis","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:37Z","https://github.com/davidcantidio/etl_debrito/issues/273"
"272","[E8T8.2b.3] REFACTOR: add database connection pooling and transaction management","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.2b.3 \n **TDD Phase**: `refactor` \n  \n ### Description \n Refatorar para adicionar connection pooling, transaction management e error recovery para database operations. \n  \n ### Checklist \n - [ ] transform/warnings/database/connection_manager.py \n  \n ### Acceptance Criteria \n - [ ] Connection pooling implementado para performance \n - [ ] Transactions usadas para data consistency \n - [ ] Error recovery em caso de database failures \n - [ ] Todos os testes continuam verdes \n  \n ### Dependencies \n This task depends on: #Task 8.2b.2 \n  \n ### Risk & Mitigation \n **Risk**: Connection pooling afetar threading do sistema existente \n **Mitigation**: Usar thread-safe connection pools e testar concorrência \n  \n ### Estimates \n - **Time**: 10 minutes (0.2h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 10min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:31Z","I_kwDOONVJAc7FKwR6","productivity;epic-8;tdd-refactor;estimate-small;type-refactor","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:31Z","https://github.com/davidcantidio/etl_debrito/issues/272"
"271","[E8T8.2b.2] IMPL: task tracking database schema","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.2b.2 \n **TDD Phase**: `green` \n  \n ### Description \n Implementar migration script para criar task_tracking table, índices e constraints necessários para analytics. \n  \n ### Checklist \n - [ ] transform/warnings/database/migrations/008_task_tracking.py \n - [ ] tests/test_database_schema.py::test_should_create_task_tracking_schema_with_proper_constraints \n  \n ### Acceptance Criteria \n - [ ] Migration script cria tabela com sucesso \n - [ ] Constraints funcionam (NOT NULL, foreign keys, etc) \n - [ ] Índices criados para performance de queries \n - [ ] Testes da fase red passam \n  \n ### Dependencies \n This task depends on: #Task 8.2b.1 \n  \n ### Risk & Mitigation \n **Risk**: Migration conflicts com database existente \n **Mitigation**: Testar migration em database copy antes de aplicar \n  \n ### Estimates \n - **Time**: 8 minutes (0.1h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 8min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:25Z","I_kwDOONVJAc7FKwQi","productivity;epic-8;tdd-green;estimate-small;type-implementation","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:25Z","https://github.com/davidcantidio/etl_debrito/issues/271"
"270","[E8T8.2b.1] TEST: should_create_task_tracking_schema_with_proper_constraints","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.2b.1 \n **TDD Phase**: `red` \n  \n ### Description \n Escrever teste que verifica criação da tabela task_tracking com constraints apropriados, índices e relacionamentos. \n  \n ### Checklist \n - [ ] tests/test_database_schema.py::test_should_create_task_tracking_schema_with_proper_constraints \n  \n ### Acceptance Criteria \n - [ ] Teste falha se tabela não for criada corretamente \n - [ ] Teste falha se constraints não forem enforced \n - [ ] Teste falha se performance de queries for inadequada \n  \n ### Dependencies \n This task depends on: #Task 8.2a \n  \n ### Risk & Mitigation \n **Risk**: Conflicts com schema migrations existentes \n **Mitigation**: Coordenar com Epic 6 migration system \n  \n ### Estimates \n - **Time**: 5 minutes (0.1h) \n - **Story Points**: 1 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 5min | 📊 **Story points**: 1","false","","[]","2025-08-10T20:11:14Z","I_kwDOONVJAc7FKwOU","productivity;epic-8;tdd-red;estimate-small;type-test","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:14Z","https://github.com/davidcantidio/etl_debrito/issues/270"
"269","[E8T8.2a] Analisar schema de database para analytics","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.2a \n **TDD Phase**: `analysis/documentation` \n  \n ### Description \n Projetar schema completo para task_tracking, metrics agregados e integração com achievements existente. \n  \n ### Checklist \n - [ ] reports/analysis_database_schema.md \n  \n ### Acceptance Criteria \n - [ ] Schema task_tracking com campos necessários definido \n - [ ] Relacionamento com achievements table planejado \n - [ ] Queries para analytics identificadas \n  \n ### Risk & Mitigation \n **Risk**: Schema design inadequado para analytics complexos \n **Mitigation**: Consultar patterns de time-tracking applications \n  \n ### Estimates \n - **Time**: 10 minutes (0.2h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 10min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:08Z","I_kwDOONVJAc7FKwNO","productivity;epic-8;estimate-small;type-analysis","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:08Z","https://github.com/davidcantidio/etl_debrito/issues/269"
"268","[E8T8.1b.3] REFACTOR: modularize tracking logic and add batch operations","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.1b.3 \n **TDD Phase**: `refactor` \n  \n ### Description \n Refatorar tracking logic para módulo separado, adicionar batch operations para performance e melhorar error handling. \n  \n ### Checklist \n - [ ] transform/warnings/analytics/task_tracker.py \n  \n ### Acceptance Criteria \n - [ ] TaskTracker classe isolada com clear interface \n - [ ] Batch insert/update operations para performance \n - [ ] Error handling robusto para database failures \n - [ ] Todos os testes continuam verdes \n  \n ### Dependencies \n This task depends on: #Task 8.1b.2 \n  \n ### Risk & Mitigation \n **Risk**: Refatoração introduzir regressões de performance \n **Mitigation**: Benchmark antes/depois e manter API simples \n  \n ### Estimates \n - **Time**: 10 minutes (0.2h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 10min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:11:02Z","I_kwDOONVJAc7FKwMC","productivity;epic-8;tdd-refactor;estimate-small;type-refactor","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:11:02Z","https://github.com/davidcantidio/etl_debrito/issues/268"
"267","[E8T8.1b.2] IMPL: enhanced task timer with tracking","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.1b.2 \n **TDD Phase**: `green` \n  \n ### Description \n Implementar extensões no task timer para aceitar task-id e estimate, criar tabela task_tracking e persistir dados com timestamps. \n  \n ### Checklist \n - [ ] transform/warnings/cli/task_timer_enhanced.py \n - [ ] tests/test_task_tracking.py::test_should_track_task_with_estimate_and_actual_time \n  \n ### Acceptance Criteria \n - [ ] Timer CLI aceita --task-id e --estimate flags \n - [ ] Dados persistidos em task_tracking table \n - [ ] Variance calculado corretamente (actual - estimated) \n - [ ] Testes da fase red passam \n  \n ### Dependencies \n This task depends on: #Task 8.1b.1 \n  \n ### Risk & Mitigation \n **Risk**: Schema conflicts com database existente \n **Mitigation**: Usar migration scripts e validar schema compatibility \n  \n ### Estimates \n - **Time**: 8 minutes (0.1h) \n - **Story Points**: 2 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 8min | 📊 **Story points**: 2","false","","[]","2025-08-10T20:10:56Z","I_kwDOONVJAc7FKwK5","productivity;epic-8;tdd-green;estimate-small;type-implementation","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:10:56Z","https://github.com/davidcantidio/etl_debrito/issues/267"
"266","[E8T8.1b.1] TEST: should_track_task_with_estimate_and_actual_time","OPEN","davidcantidio","davidcantidio","### Epic Context \n **Epic 8**: Task Time Monitoring & Analytics \n **Task ID**: 8.1b.1 \n **TDD Phase**: `red` \n  \n ### Description \n Escrever teste que verifica que o timer aceita task-id e estimate, persiste no banco e calcula variance entre tempo estimado e real. \n  \n ### Checklist \n - [ ] tests/test_task_tracking.py::test_should_track_task_with_estimate_and_actual_time \n  \n ### Acceptance Criteria \n - [ ] Teste falha se task-id ou estimate não forem aceitos \n - [ ] Teste falha se dados não forem persistidos corretamente \n - [ ] Teste falha se variance calculation estiver incorreto \n  \n ### Dependencies \n This task depends on: #Task 8.1a \n  \n ### Risk & Mitigation \n **Risk**: Complexidade de setup de database em testes \n **Mitigation**: Usar SQLite in-memory para testes isolados \n  \n ### Estimates \n - **Time**: 5 minutes (0.1h) \n - **Story Points**: 1 \n  \n ### Definition of Done \n - [ ] All acceptance criteria met \n - [ ] Code reviewed (if applicable) \n - [ ] Tests passing (if applicable)   \n - [ ] Documentation updated (if applicable) \n - [ ] Issue moved to Done in Projects \n  \n ⏱️ **Estimated effort**: 5min | 📊 **Story points**: 1","false","","[]","2025-08-10T20:10:50Z","I_kwDOONVJAc7FKwJs","productivity;epic-8;tdd-red;estimate-small;type-test","EPIC 8 - Task Time Monitoring & Analytics","","2025-08-10T20:10:50Z","https://github.com/davidcantidio/etl_debrito/issues/266"
